theta1_deg,theta2_deg,m00_id1_mcp_delta_mm,m01_id2_mcp_delta_mm,m02_id3_mcp_routing_delta_mm,m03_id4_mcp_routing_delta_mm,m00_id1_invalid_mask,m01_id2_invalid_mask,m02_id3_invalid_mask,m03_id4_invalid_mask
-20.0,36.0,-1.241472,-6.534401,-1.486053,4.106524,0,0,0,0
-20.0,36.2,-1.261997,-6.554531,-1.501977,4.122552,0,0,0,0
-20.0,36.4,-1.282521,-6.574659,-1.517959,4.138639,0,0,0,0
-20.0,36.6,-1.303046,-6.594787,-1.533998,4.154786,0,0,0,0
-20.0,36.8,-1.323571,-6.614913,-1.550095,4.170992,0,0,0,0
-20.0,37.0,-1.344095,-6.635039,-1.566249,4.187257,0,0,0,0
-20.0,37.2,-1.364620,-6.655164,-1.582460,4.203581,0,0,0,0
-20.0,37.4,-1.385144,-6.675288,-1.598728,4.219964,0,0,0,0
-20.0,37.6,-1.405668,-6.695412,-1.615053,4.236405,0,0,0,0
-20.0,37.8,-1.426192,-6.715534,-1.631435,4.252906,0,0,0,0
-20.0,38.0,-1.446716,-6.735656,-1.647874,4.269465,0,0,0,0
-20.0,38.2,-1.467240,-6.755776,-1.664370,4.286082,0,0,0,0
-20.0,38.4,-1.487764,-6.775897,-1.680922,4.302759,0,0,0,0
-20.0,38.6,-1.508288,-6.796015,-1.697531,4.319493,0,0,0,0
-20.0,38.8,-1.528811,-6.816133,-1.714197,4.336286,0,0,0,0
-20.0,39.0,-1.549335,-6.836251,-1.730919,4.353137,0,0,0,0
-20.0,39.2,-1.569858,-6.856368,-1.747697,4.370047,0,0,0,0
-20.0,39.4,-1.590382,-6.876483,-1.764532,4.387014,0,0,0,0
-20.0,39.6,-1.610905,-6.896598,-1.781422,4.404039,0,0,0,0
-20.0,39.8,-1.631428,-6.916712,-1.798370,4.421123,0,0,0,0
-20.0,40.0,-1.651951,-6.936824,-1.815373,4.438264,0,0,0,0
-20.0,40.2,-1.672473,-6.956937,-1.832432,4.455463,0,0,0,0
-20.0,40.4,-1.692996,-6.977048,-1.849547,4.472720,0,0,0,0
-20.0,40.6,-1.713519,-6.997158,-1.866718,4.490034,0,0,0,0
-20.0,40.8,-1.734041,-7.017268,-1.883945,4.507405,0,0,0,0
-20.0,41.0,-1.754564,-7.037376,-1.901227,4.524834,0,0,0,0
-20.0,41.2,-1.775086,-7.057484,-1.918565,4.542320,0,0,0,0
-20.0,41.4,-1.795608,-7.077590,-1.935959,4.559864,0,0,0,0
-20.0,41.6,-1.816130,-7.097696,-1.953408,4.577465,0,0,0,0
-20.0,41.8,-1.836652,-7.117802,-1.970912,4.595122,0,0,0,0
-20.0,42.0,-1.857174,-7.137906,-1.988471,4.612837,0,0,0,0
-20.0,42.2,-1.877696,-7.158009,-2.006086,4.630608,0,0,0,0
-20.0,42.4,-1.898218,-7.178111,-2.023756,4.648436,0,0,0,0
-20.0,42.6,-1.918739,-7.198213,-2.041481,4.666321,0,0,0,0
-20.0,42.8,-1.939261,-7.218313,-2.059261,4.684262,0,0,0,0
-20.0,43.0,-1.959782,-7.238412,-2.077095,4.702260,0,0,0,0
-20.0,43.2,-1.980303,-7.258511,-2.094985,4.720315,0,0,0,0
-20.0,43.4,-2.000824,-7.278609,-2.112929,4.738425,0,0,0,0
-20.0,43.6,-2.021345,-7.298706,-2.130928,4.756592,0,0,0,0
-20.0,43.8,-2.041866,-7.318801,-2.148981,4.774815,0,0,0,0
-20.0,44.0,-2.062387,-7.338896,-2.167089,4.793094,0,0,0,0
-20.0,44.2,-2.082907,-7.358991,-2.185251,4.811429,0,0,0,0
-20.0,44.4,-2.103428,-7.379084,-2.203467,4.829819,0,0,0,0
-20.0,44.6,-2.123948,-7.399176,-2.221737,4.848266,0,0,0,0
-20.0,44.8,-2.144469,-7.419267,-2.240062,4.866767,0,0,0,0
-20.0,45.0,-2.164989,-7.439357,-2.258440,4.885325,0,0,0,0
-20.0,45.2,-2.185509,-7.459446,-2.276872,4.903938,0,0,0,0
-20.0,45.4,-2.206029,-7.479535,-2.295359,4.922606,0,0,0,0
-20.0,45.6,-2.226549,-7.499622,-2.313899,4.941329,0,0,0,0
-20.0,45.8,-2.247069,-7.519709,-2.332492,4.960108,0,0,0,0
-20.0,46.0,-2.267588,-7.539794,-2.351139,4.978942,0,0,0,0
-20.0,46.2,-2.288108,-7.559879,-2.369840,4.997831,0,0,0,0
-20.0,46.4,-2.308627,-7.579963,-2.388594,5.016774,0,0,0,0
-20.0,46.6,-2.329146,-7.600046,-2.407401,5.035772,0,0,0,0
-20.0,46.8,-2.349666,-7.620127,-2.426261,5.054825,0,0,0,0
-20.0,47.0,-2.370185,-7.640208,-2.445175,5.073933,0,0,0,0
-20.0,47.2,-2.390704,-7.660288,-2.464141,5.093095,0,0,0,0
-20.0,47.4,-2.411222,-7.680367,-2.483161,5.112311,0,0,0,0
-20.0,47.6,-2.431741,-7.700445,-2.502233,5.131582,0,0,0,0
-20.0,47.8,-2.452260,-7.720521,-2.521358,5.150906,0,0,0,0
-20.0,48.0,-2.472778,-7.740598,-2.540535,5.170285,0,0,0,0
-20.0,48.2,-2.493297,-7.760673,-2.559766,5.189717,0,0,0,0
-20.0,48.4,-2.513815,-7.780746,-2.579048,5.209204,0,0,0,0
-20.0,48.6,-2.534333,-7.800819,-2.598383,5.228744,0,0,0,0
-20.0,48.8,-2.554851,-7.820891,-2.617770,5.248338,0,0,0,0
-20.0,49.0,-2.575369,-7.840962,-2.637210,5.267985,0,0,0,0
-20.0,49.2,-2.595886,-7.861032,-2.656701,5.287686,0,0,0,0
-20.0,49.4,-2.616404,-7.881102,-2.676244,5.307440,0,0,0,0
-20.0,49.6,-2.636922,-7.901169,-2.695839,5.327247,0,0,0,0
-20.0,49.8,-2.657439,-7.921237,-2.715486,5.347107,0,0,0,0
-20.0,50.0,-2.677956,-7.941303,-2.735185,5.367021,0,0,0,0
-20.0,50.2,-2.698474,-7.961368,-2.754935,5.386987,0,0,0,0
-20.0,50.4,-2.718991,-7.981431,-2.774737,5.407006,0,0,0,0
-20.0,50.6,-2.739508,-8.001494,-2.794590,5.427078,0,0,0,0
-20.0,50.8,-2.760024,-8.021557,-2.814494,5.447202,0,0,0,0
-20.0,51.0,-2.780541,-8.041617,-2.834450,5.467379,0,0,0,0
-20.0,51.2,-2.801058,-8.061677,-2.854456,5.487609,0,0,0,0
-20.0,51.4,-2.821574,-8.081737,-2.874514,5.507891,0,0,0,0
-20.0,51.6,-2.842090,-8.101794,-2.894623,5.528225,0,0,0,0
-20.0,51.8,-2.862607,-8.121851,-2.914782,5.548611,0,0,0,0
-20.0,52.0,-2.883123,-8.141907,-2.934992,5.569050,0,0,0,0
-20.0,52.2,-2.903639,-8.161962,-2.955252,5.589540,0,0,0,0
-20.0,52.4,-2.924155,-8.182015,-2.975563,5.610083,0,0,0,0
-20.0,52.6,-2.944670,-8.202068,-2.995925,5.630676,0,0,0,0
-20.0,52.8,-2.965186,-8.222119,-3.016336,5.651322,0,0,0,0
-20.0,53.0,-2.985701,-8.242170,-3.036798,5.672019,0,0,0,0
-20.0,53.2,-3.006217,-8.262219,-3.057310,5.692768,0,0,0,0
-20.0,53.4,-3.026732,-8.282269,-3.077872,5.713567,0,0,0,0
-20.0,53.6,-3.047247,-8.302316,-3.098484,5.734418,0,0,0,0
-20.0,53.8,-3.067762,-8.322362,-3.119145,5.755320,0,0,0,0
-20.0,54.0,-3.088277,-8.342407,-3.139856,5.776273,0,0,0,0
-20.0,54.2,-3.108791,-8.362452,-3.160617,5.797276,0,0,0,0
-20.0,54.4,-3.129306,-8.382495,-3.181427,5.818331,0,0,0,0
-20.0,54.6,-3.149820,-8.402537,-3.202286,5.839436,0,0,0,0
-20.0,54.8,-3.170335,-8.422578,-3.223195,5.860590,0,0,0,0
-20.0,55.0,-3.190849,-8.442618,-3.244152,5.881796,0,0,0,0
-20.0,55.2,-3.211363,-8.462657,-3.265159,5.903052,0,0,0,0
-20.0,55.4,-3.231877,-8.482695,-3.286215,5.924358,0,0,0,0
-20.0,55.6,-3.252391,-8.502731,-3.307319,5.945714,0,0,0,0
-20.0,55.8,-3.272905,-8.522767,-3.328473,5.967119,0,0,0,0
-20.0,56.0,-3.293418,-8.542802,-3.349675,5.988574,0,0,0,0
-20.0,56.2,-3.313931,-8.562835,-3.370925,6.010079,0,0,0,0
-20.0,56.4,-3.334445,-8.582868,-3.392225,6.031633,0,0,0,0
-20.0,56.6,-3.354958,-8.602899,-3.413572,6.053237,0,0,0,0
-20.0,56.8,-3.375471,-8.622929,-3.434968,6.074890,0,0,0,0
-20.0,57.0,-3.395984,-8.642958,-3.456412,6.096592,0,0,0,0
-20.0,57.2,-3.416497,-8.662986,-3.477904,6.118343,0,0,0,0
-20.0,57.4,-3.437010,-8.683012,-3.499444,6.140142,0,0,0,0
-20.0,57.6,-3.457522,-8.703038,-3.521032,6.161991,0,0,0,0
-20.0,57.8,-3.478034,-8.723063,-3.542668,6.183888,0,0,0,0
-20.0,58.0,-3.498547,-8.743086,-3.564351,6.205833,0,0,0,0
-20.0,58.2,-3.519059,-8.763108,-3.586082,6.227827,0,0,0,0
-20.0,58.4,-3.539571,-8.783129,-3.607860,6.249869,0,0,0,0
-20.0,58.6,-3.560083,-8.803149,-3.629685,6.271959,0,0,0,0
